# step h OmegaM OmegaL chi2
1 0.55748729 0.61572702 0.16366039 3141.41041088
2 0.57379844 0.64258062 0.16886661 2359.57643141
3 0.57986954 0.62412524 0.12949970 2096.26409216
4 0.59448482 0.62170204 0.14024314 1629.91670558
5 0.59558527 0.64313226 0.16205707 1604.37821609
6 0.59851600 0.59480670 0.16288095 1546.41524803
7 0.60937550 0.58784628 0.19716738 1301.98723622
8 0.61091125 0.59485525 0.19945760 1267.76201514
9 0.61815486 0.61784416 0.18030810 1118.68073076
10 0.62315439 0.63210946 0.21353567 1049.10767835
11 0.62506346 0.60371870 0.22764398 1024.43990075
12 0.63094564 0.61526131 0.19716756 946.15960441
13 0.64473607 0.61961039 0.16884810 849.10744707
14 0.65981780 0.62756439 0.17432367 844.51892622
15 0.65269094 0.61363452 0.20016441 818.41886388
16 0.65002752 0.57980755 0.19901008 805.78085941
17 0.65005499 0.57863107 0.21474765 801.50066832
18 0.65215861 0.59682688 0.21936021 804.10702549
19 0.65564175 0.60106212 0.22638355 800.13224191
20 0.65583676 0.57675769 0.22602703 786.06210037
21 0.65815720 0.55502214 0.24584700 765.84495411
22 0.65961643 0.53364812 0.26468135 747.33589414
23 0.65741312 0.52551968 0.26064579 747.28139781
24 0.66536011 0.53875161 0.28125139 746.07859207
25 0.66297157 0.53016665 0.27726903 740.42475428
26 0.66036622 0.51093773 0.29451367 726.75338422
27 0.66103799 0.50966271 0.29467812 725.15916713
28 0.67459676 0.47087192 0.30887165 711.12517348
29 0.67299490 0.43681565 0.33166929 677.00582874
30 0.67207690 0.45088950 0.34089430 680.22139459
31 0.66973136 0.43373330 0.34779386 668.33403859
32 0.68061378 0.39249782 0.33306188 669.43059190
33 0.66595659 0.40679374 0.34096919 663.81850127
34 0.66803268 0.36252218 0.32742711 647.26758159
35 0.67427632 0.38539025 0.34988140 646.32371739
36 0.67057082 0.37440293 0.37741038 638.03435025
37 0.67444870 0.33856453 0.37247389 622.45906947
38 0.67677153 0.31623924 0.37687123 612.89430128
39 0.67626829 0.30320406 0.37716077 609.34805197
40 0.67526969 0.27712241 0.36752536 605.73417156
